xran,predictedvalue
1,5.3981818181818175
2,5.396363636363636
3,5.394545454545454
4,5.392727272727273
5,5.390909090909091
6,5.389090909090909
7,5.387272727272727
8,5.385454545454545
9,5.383636363636363
10,5.381818181818181
11,5.38
12,5.378181818181818
13,5.376363636363636
14,5.374545454545454
15,5.372727272727272
16,5.37090909090909
17,5.369090909090908
18,5.367272727272726
19,5.365454545454545
20,5.363636363636363
21,5.361818181818181
22,5.359999999999999
23,5.3581818181818175
24,5.3563636363636355
25,5.354545454545454
